Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0407   0.0000
 -175.00     0.2230   0.0507   0.0937
 -170.00     0.4050   0.1055   0.1702
 -160.00     0.6580   0.2982   0.2819
 -155.00     0.7330   0.4121   0.3213
 -150.00     0.7780   0.5308   0.3520
 -145.00     0.7950   0.6503   0.3754
 -140.00     0.7870   0.7672   0.3926
 -135.00     0.7570   0.8785   0.4046
 -130.00     0.7080   0.9819   0.4121
 -125.00     0.6410   1.0756   0.4160
 -120.00     0.5600   1.1580   0.4167
 -115.00     0.4670   1.2280   0.4146
 -110.00     0.3650   1.2847   0.4104
 -105.00     0.2550   1.3274   0.4041
 -100.00     0.1390   1.3557   0.3961
  -95.00     0.0210   1.3692   0.3867
  -90.00    -0.0980   1.3680   0.3759
  -85.00    -0.2160   1.3521   0.3639
  -80.00    -0.3310   1.3218   0.3508
  -75.00    -0.4410   1.2773   0.3367
  -70.00    -0.5440   1.2193   0.3216
  -65.00    -0.6380   1.1486   0.3054
  -60.00    -0.7200   1.0660   0.2884
  -55.00    -0.7880   0.9728   0.2703
  -50.00    -0.8400   0.8705   0.2512
  -45.00    -0.8750   0.7611   0.2311
  -40.00    -0.8890   0.6466   0.2099
  -35.00    -0.8800   0.5299   0.1876
  -30.00    -0.8460   0.4141   0.1641
  -25.00    -0.7840   0.3030   0.1396
  -24.00    -0.7680   0.2817   0.1345
  -23.00    -0.7510   0.2608   0.1294
  -22.00    -0.7330   0.2404   0.1243
  -21.00    -0.7140   0.2205   0.1191
  -20.00    -0.6930   0.2011   0.1139
  -19.00    -0.6710   0.1822   0.1086
  -18.00    -0.6480   0.1640   0.1032
  -17.00    -0.6240   0.1465   0.0975
  -16.00    -0.6010   0.1300   0.0898
  -15.00    -0.5790   0.1145   0.0799
  -14.00    -0.5590   0.1000   0.0682
  -13.00    -0.5390   0.0867   0.0547
  -12.00    -0.5190   0.0744   0.0397
  -11.00    -0.4990   0.0633   0.0234
  -10.00    -0.4800   0.0534   0.0060
   -5.54    -0.3850   0.0245  -0.0800
   -5.04    -0.3590   0.0225  -0.0800
   -4.54    -0.3600   0.0196  -0.0800
   -4.04    -0.3550   0.0174  -0.0800
   -3.54    -0.3070   0.0162  -0.0800
   -3.04    -0.2460   0.0144  -0.0800
   -3.00    -0.2400   0.0240  -0.0623
   -2.50    -0.1630   0.0188  -0.0674
   -2.00    -0.0910   0.0160  -0.0712
   -1.50    -0.0190   0.0137  -0.0746
   -1.00     0.0520   0.0118  -0.0778
   -0.50     0.1210   0.0104  -0.0806
    0.00     0.1960   0.0094  -0.0831
    0.50     0.2650   0.0096  -0.0863
    1.00     0.3350   0.0098  -0.0895
    1.50     0.4040   0.0099  -0.0924
    2.00     0.4720   0.0100  -0.0949
    2.50     0.5400   0.0102  -0.0973
    3.00     0.6080   0.0103  -0.0996
    3.50     0.6740   0.0104  -0.1016
    4.00     0.7420   0.0105  -0.1037
    4.50     0.8090   0.0107  -0.1057
    5.00     0.8750   0.0108  -0.1076
    5.50     0.9410   0.0109  -0.1094
    6.00     1.0070   0.0110  -0.1109
    6.50     1.0710   0.0113  -0.1118
    7.00     1.1340   0.0115  -0.1127
    7.50     1.1980   0.0117  -0.1138
    8.00     1.2600   0.0120  -0.1144
    8.50     1.3180   0.0126  -0.1137
    9.00     1.3680   0.0133  -0.1112
    9.50     1.4220   0.0143  -0.1100
   10.00     1.4750   0.0156  -0.1086
   10.50     1.5230   0.0174  -0.1064
   11.00     1.5700   0.0194  -0.1044
   11.50     1.6090   0.0227  -0.1013
   12.00     1.6420   0.0269  -0.0980
   12.50     1.6750   0.0319  -0.0953
   13.00     1.7000   0.0398  -0.0925
   13.50     1.7170   0.0488  -0.0896
   14.00     1.7120   0.0614  -0.0864
   14.50     1.7030   0.0786  -0.0840
   15.50     1.6710   0.1173  -0.0830
   16.00     1.6490   0.1377  -0.0848
   16.50     1.6210   0.1600  -0.0880
   17.00     1.5980   0.1814  -0.0926
   17.50     1.5710   0.2042  -0.0984
   18.00     1.5490   0.2316  -0.1052
   19.00     1.5440   0.2719  -0.1158
   19.50     1.5490   0.2906  -0.1213
   20.00     1.5650   0.3085  -0.1248
   21.00     1.5650   0.3447  -0.1317
   22.00     1.5630   0.3820  -0.1385
   23.00     1.5580   0.4203  -0.1452
   24.00     1.5520   0.4593  -0.1518
   25.00     1.5460   0.4988  -0.1583
   26.00     1.5390   0.5387  -0.1647
   28.00     1.5270   0.6187  -0.1770
   30.00     1.5220   0.6978  -0.1886
   32.00     1.5290   0.7747  -0.1994
   35.00     1.5440   0.8869  -0.2148
   40.00     1.5290   1.0671  -0.2392
   45.00     1.4710   1.2319  -0.2622
   50.00     1.3760   1.3747  -0.2839
   55.00     1.2490   1.4899  -0.3043
   60.00     1.0970   1.5728  -0.3236
   65.00     0.9280   1.6202  -0.3417
   70.00     0.7500   1.6302  -0.3586
   75.00     0.5700   1.6031  -0.3745
   80.00     0.3960   1.5423  -0.3892
   85.00     0.2370   1.4598  -0.4028
   90.00     0.1010   1.4041  -0.4151
   95.00    -0.0220   1.4053  -0.4261
  100.00    -0.1430   1.3914  -0.4357
  105.00    -0.2610   1.3625  -0.4437
  110.00    -0.3740   1.3188  -0.4498
  115.00    -0.4800   1.2608  -0.4538
  120.00    -0.5750   1.1891  -0.4553
  125.00    -0.6590   1.1046  -0.4540
  130.00    -0.7270   1.0086  -0.4492
  135.00    -0.7780   0.9025  -0.4405
  140.00    -0.8090   0.7883  -0.4270
  145.00    -0.8180   0.6684  -0.4078
  150.00    -0.8000   0.5457  -0.3821
  155.00    -0.7540   0.4236  -0.3484
  160.00    -0.6770   0.3066  -0.3054
  170.00    -0.4170   0.1085  -0.1842
  175.00    -0.2290   0.0510  -0.1013
  180.00     0.0000   0.0407   0.0000
