Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0602   0.0000
 -175.00     0.2180   0.0699   0.0934
 -170.00     0.3970   0.1107   0.1697
 -160.00     0.6420   0.3045   0.2813
 -155.00     0.7150   0.4179   0.3208
 -150.00     0.7570   0.5355   0.3516
 -145.00     0.7720   0.6535   0.3752
 -140.00     0.7620   0.7685   0.3926
 -135.00     0.7310   0.8777   0.4048
 -130.00     0.6800   0.9788   0.4126
 -125.00     0.6130   1.0700   0.4166
 -120.00     0.5320   1.1499   0.4176
 -115.00     0.4390   1.2174   0.4158
 -110.00     0.3370   1.2716   0.4117
 -105.00     0.2280   1.3118   0.4057
 -100.00     0.1140   1.3378   0.3979
  -95.00    -0.0020   1.3492   0.3887
  -90.00    -0.1200   1.3460   0.3781
  -85.00    -0.2360   1.3283   0.3663
  -80.00    -0.3490   1.2964   0.3534
  -75.00    -0.4560   1.2507   0.3394
  -70.00    -0.5570   1.1918   0.3244
  -65.00    -0.6470   1.1204   0.3084
  -60.00    -0.7270   1.0376   0.2914
  -55.00    -0.7920   0.9446   0.2733
  -50.00    -0.8420   0.8429   0.2543
  -45.00    -0.8740   0.7345   0.2342
  -40.00    -0.8860   0.6215   0.2129
  -35.00    -0.8750   0.5067   0.1906
  -30.00    -0.8390   0.3932   0.1670
  -25.00    -0.7770   0.2849   0.1422
  -24.00    -0.7610   0.2642   0.1371
  -23.00    -0.7440   0.2440   0.1320
  -22.00    -0.7250   0.2242   0.1268
  -21.00    -0.7060   0.2049   0.1215
  -20.00    -0.6850   0.1861   0.1162
  -19.00    -0.6620   0.1687   0.1097
  -18.00    -0.6350   0.1533   0.1012
  -17.00    -0.6050   0.1398   0.0907
  -16.00    -0.5710   0.1281   0.0784
  -15.00    -0.5340   0.1183   0.0646
  -14.00    -0.4940   0.1101   0.0494
  -13.00    -0.4520   0.1036   0.0330
  -12.00    -0.4070   0.0986   0.0156
  -11.00    -0.3600   0.0951  -0.0026
  -10.00    -0.3110   0.0931  -0.0213
   -8.00    -0.2080   0.0930  -0.0600
   -6.00    -0.1110   0.0689  -0.0500
   -5.50    -0.0900   0.0614  -0.0516
   -5.00    -0.0720   0.0547  -0.0532
   -4.50    -0.0650   0.0480  -0.0538
   -4.00    -0.0540   0.0411  -0.0544
   -3.50    -0.0170   0.0349  -0.0554
   -3.00     0.0030   0.0299  -0.0558
   -2.50     0.0140   0.0255  -0.0555
   -2.00     0.0090   0.0198  -0.0534
   -1.50     0.0040   0.0164  -0.0442
   -1.00     0.0360   0.0147  -0.0469
   -0.50     0.0730   0.0137  -0.0522
    0.00     0.1370   0.0113  -0.0573
    0.50     0.2130   0.0114  -0.0644
    1.00     0.2920   0.0118  -0.0718
    1.50     0.3690   0.0122  -0.0783
    2.00     0.4440   0.0124  -0.0835
    2.50     0.5140   0.0124  -0.0866
    3.00     0.5800   0.0123  -0.0887
    3.50     0.6450   0.0120  -0.0900
    4.00     0.7100   0.0119  -0.0914
    4.50     0.7760   0.0122  -0.0933
    5.00     0.8410   0.0125  -0.0947
    5.50     0.9040   0.0129  -0.0957
    6.00     0.9670   0.0135  -0.0967
    6.50     1.0270   0.0144  -0.0973
    7.00     1.0840   0.0158  -0.0972
    7.50     1.1400   0.0174  -0.0972
    8.00     1.1930   0.0198  -0.0968
    8.50     1.2420   0.0231  -0.0958
    9.00     1.2870   0.0275  -0.0948
    9.50     1.3330   0.0323  -0.0942
   10.00     1.3680   0.0393  -0.0926
   10.50     1.4000   0.0475  -0.0908
   11.00     1.4250   0.0580  -0.0890
   11.50     1.4490   0.0691  -0.0877
   12.00     1.4730   0.0816  -0.0870
   12.50     1.4940   0.0973  -0.0870
   13.00     1.5130   0.1129  -0.0876
   13.50     1.5380   0.1288  -0.0886
   14.50     1.5870   0.1650  -0.0917
   15.00     1.6140   0.1845  -0.0939
   15.50     1.6310   0.2052  -0.0966
   16.00     1.6490   0.2250  -0.0996
   16.50     1.6660   0.2467  -0.1031
   17.00     1.6810   0.2684  -0.1069
   17.50     1.6990   0.2900  -0.1110
   18.00     1.7190   0.3121  -0.1157
   19.00     1.7510   0.3554  -0.1242
   19.50     1.7670   0.3783  -0.1291
   20.50     1.7980   0.4212  -0.1384
   21.00     1.8100   0.4415  -0.1416
   22.00     1.8300   0.4830  -0.1479
   23.00     1.8470   0.5257  -0.1542
   24.00     1.8610   0.5694  -0.1603
   25.00     1.8720   0.6141  -0.1664
   26.00     1.8810   0.6593  -0.1724
   28.00     1.8940   0.7513  -0.1841
   30.00     1.9040   0.8441  -0.1954
   32.00     1.9150   0.9364  -0.2063
   35.00     1.9290   1.0722  -0.2220
   40.00     1.9030   1.2873  -0.2468
   45.00     1.8200   1.4796  -0.2701
   50.00     1.6900   1.6401  -0.2921
   55.00     1.5220   1.7609  -0.3127
   60.00     1.3230   1.8360  -0.3321
   65.00     1.1060   1.8614  -0.3502
   70.00     0.8800   1.8347  -0.3672
   75.00     0.6580   1.7567  -0.3830
   80.00     0.4490   1.6334  -0.3977
   85.00     0.2670   1.4847  -0.4112
   90.00     0.1240   1.3879  -0.4234
   95.00     0.0020   1.3912  -0.4343
  100.00    -0.1180   1.3795  -0.4437
  105.00    -0.2350   1.3528  -0.4514
  110.00    -0.3480   1.3114  -0.4573
  115.00    -0.4530   1.2557  -0.4610
  120.00    -0.5490   1.1864  -0.4623
  125.00    -0.6330   1.1041  -0.4606
  130.00    -0.7020   1.0102  -0.4554
  135.00    -0.7540   0.9060  -0.4462
  140.00    -0.7870   0.7935  -0.4323
  145.00    -0.7970   0.6750  -0.4127
  150.00    -0.7820   0.5532  -0.3863
  155.00    -0.7390   0.4318  -0.3521
  160.00    -0.6640   0.3147  -0.3085
  170.00    -0.4100   0.1144  -0.1858
  175.00    -0.2260   0.0702  -0.1022
  180.00     0.0000   0.0602   0.0000
