Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0267   0.0000
 -175.00     0.2740   0.0370   0.1379
 -170.00     0.5470   0.0968   0.2778
 -160.00     0.6850   0.2876   0.2740
 -155.00     0.7660   0.4025   0.3118
 -150.00     0.8160   0.5232   0.3411
 -145.00     0.8360   0.6454   0.3631
 -140.00     0.8320   0.7656   0.3791
 -135.00     0.8040   0.8807   0.3899
 -130.00     0.7560   0.9882   0.3965
 -125.00     0.6900   1.0861   0.3994
 -120.00     0.6090   1.1730   0.3992
 -115.00     0.5150   1.2474   0.3964
 -110.00     0.4110   1.3084   0.3915
 -105.00     0.3000   1.3552   0.3846
 -100.00     0.1820   1.3875   0.3761
  -95.00     0.0610   1.4048   0.3663
  -90.00    -0.0610   1.4070   0.3551
  -85.00    -0.1830   1.3941   0.3428
  -80.00    -0.3020   1.3664   0.3295
  -75.00    -0.4160   1.3240   0.3153
  -70.00    -0.5230   1.2676   0.3001
  -65.00    -0.6220   1.1978   0.2841
  -60.00    -0.7080   1.1156   0.2672
  -55.00    -0.7810   1.0220   0.2494
  -50.00    -0.8380   0.9187   0.2308
  -45.00    -0.8770   0.8074   0.2113
  -40.00    -0.8950   0.6904   0.1909
  -35.00    -0.8890   0.5703   0.1696
  -30.00    -0.8580   0.4503   0.1475
  -25.00    -0.8320   0.3357   0.1224
  -24.00    -0.8520   0.3147   0.1156
  -23.00    -0.8820   0.2946   0.1081
  -22.00    -0.9190   0.2752   0.1000
  -21.00    -0.9630   0.2566   0.0914
  -20.00    -1.0130   0.2388   0.0823
  -19.00    -1.0670   0.2218   0.0728
  -18.00    -1.1250   0.2056   0.0631
  -17.00    -1.1850   0.1901   0.0531
  -16.00    -1.2450   0.1754   0.0430
  -15.25    -1.2900   0.1649   0.0353
  -14.24    -1.2290   0.1461   0.0240
  -13.24    -1.1480   0.1263   0.0100
  -12.22    -1.0520   0.1051  -0.0090
  -11.22    -0.9650   0.0886  -0.0230
  -10.19    -0.8670   0.0740  -0.0336
   -9.70    -0.8220   0.0684  -0.0375
   -9.18    -0.7690   0.0605  -0.0440
   -8.18    -0.7560   0.0270  -0.0578
   -7.19    -0.6900   0.0180  -0.0590
   -6.65    -0.6160   0.0166  -0.0633
   -6.13    -0.5420   0.0152  -0.0674
   -6.00    -0.5250   0.0117  -0.0732
   -5.50    -0.4510   0.0105  -0.0766
   -5.00    -0.3820   0.0097  -0.0797
   -4.50    -0.3140   0.0092  -0.0825
   -4.00    -0.2510   0.0091  -0.0853
   -3.50    -0.1890   0.0089  -0.0884
   -3.00    -0.1200   0.0089  -0.0914
   -2.50    -0.0510   0.0088  -0.0942
   -2.00     0.0170   0.0088  -0.0969
   -1.50     0.0850   0.0088  -0.0994
   -1.00     0.1520   0.0088  -0.1018
   -0.50     0.2190   0.0088  -0.1041
    0.00     0.2880   0.0087  -0.1062
    0.50     0.3540   0.0087  -0.1086
    1.00     0.4210   0.0088  -0.1107
    1.50     0.4870   0.0089  -0.1129
    2.00     0.5540   0.0090  -0.1149
    2.50     0.6190   0.0091  -0.1168
    3.00     0.6850   0.0092  -0.1185
    3.50     0.7490   0.0093  -0.1201
    4.00     0.8150   0.0095  -0.1218
    4.50     0.8790   0.0096  -0.1233
    5.00     0.9440   0.0097  -0.1248
    5.50     1.0080   0.0099  -0.1260
    6.00     1.0720   0.0101  -0.1270
    6.50     1.1350   0.0103  -0.1280
    7.00     1.1970   0.0107  -0.1287
    7.50     1.2560   0.0112  -0.1289
    8.00     1.3050   0.0125  -0.1270
    9.00     1.3900   0.0155  -0.1207
    9.50     1.4240   0.0171  -0.1158
   10.00     1.4580   0.0192  -0.1116
   10.50     1.4880   0.0219  -0.1073
   11.00     1.5120   0.0255  -0.1029
   11.50     1.5330   0.0307  -0.0983
   12.00     1.5490   0.0370  -0.0949
   12.50     1.5580   0.0452  -0.0921
   13.00     1.4700   0.0630  -0.0899
   13.50     1.3980   0.0784  -0.0885
   14.00     1.3540   0.0931  -0.0885
   14.50     1.3360   0.1081  -0.0902
   15.00     1.3330   0.1239  -0.0928
   15.50     1.3260   0.1415  -0.0963
   16.00     1.3290   0.1592  -0.1006
   16.50     1.3260   0.1743  -0.1042
