Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0185   0.0000
 -175.00     0.3940   0.0332   0.1978
 -170.00     0.7880   0.0945   0.3963
 -160.00     0.6700   0.2809   0.2738
 -155.00     0.7490   0.3932   0.3118
 -150.00     0.7970   0.5112   0.3413
 -145.00     0.8180   0.6309   0.3636
 -140.00     0.8130   0.7485   0.3799
 -135.00     0.7860   0.8612   0.3911
 -130.00     0.7390   0.9665   0.3980
 -125.00     0.6750   1.0625   0.4012
 -120.00     0.5960   1.1476   0.4014
 -115.00     0.5050   1.2206   0.3990
 -110.00     0.4030   1.2805   0.3943
 -105.00     0.2940   1.3265   0.3878
 -100.00     0.1790   1.3582   0.3796
  -95.00     0.0600   1.3752   0.3700
  -90.00    -0.0600   1.3774   0.3591
  -85.00    -0.1790   1.3648   0.3471
  -80.00    -0.2950   1.3376   0.3340
  -75.00    -0.4070   1.2962   0.3199
  -70.00    -0.5120   1.2409   0.3049
  -65.00    -0.6080   1.1725   0.2890
  -60.00    -0.6930   1.0919   0.2722
  -55.00    -0.7640   1.0002   0.2545
  -50.00    -0.8200   0.8990   0.2359
  -45.00    -0.8570   0.7900   0.2163
  -40.00    -0.8750   0.6754   0.1958
  -35.00    -0.8690   0.5579   0.1744
  -30.00    -0.8380   0.4405   0.1520
  -25.00    -0.7910   0.3256   0.1262
  -24.00    -0.7940   0.3013   0.1170
  -23.00    -0.8050   0.2762   0.1059
  -22.00    -0.8210   0.2506   0.0931
  -21.00    -0.8430   0.2246   0.0788
  -20.00    -0.8690   0.1983   0.0631
  -19.00    -0.8990   0.1720   0.0464
  -18.00    -0.9310   0.1457   0.0286
  -17.00    -0.9640   0.1197   0.0102
  -16.00    -0.9990   0.0940  -0.0088
  -15.00    -1.0330   0.0689  -0.0281
  -14.50    -1.0500   0.0567  -0.0378
  -12.01    -0.9530   0.0271  -0.0349
  -11.00    -0.9000   0.0303  -0.0361
   -9.98    -0.8270   0.0287  -0.0464
   -8.12    -0.5360   0.0124  -0.0821
   -7.62    -0.4670   0.0109  -0.0924
   -7.11    -0.3930   0.0092  -0.1015
   -6.60    -0.3230   0.0083  -0.1073
   -6.50    -0.3110   0.0089  -0.1083
   -6.00    -0.2450   0.0082  -0.1112
   -5.50    -0.1780   0.0074  -0.1146
   -5.00    -0.1130   0.0069  -0.1172
   -4.50    -0.0480   0.0065  -0.1194
   -4.00     0.0160   0.0063  -0.1213
   -3.50     0.0800   0.0061  -0.1232
   -3.00     0.1450   0.0058  -0.1252
   -2.50     0.2080   0.0057  -0.1268
   -2.00     0.2700   0.0057  -0.1282
   -1.50     0.3330   0.0057  -0.1297
   -1.00     0.3960   0.0057  -0.1310
   -0.50     0.4580   0.0057  -0.1324
    0.00     0.5210   0.0057  -0.1337
    0.50     0.5830   0.0057  -0.1350
    1.00     0.6450   0.0058  -0.1363
    1.50     0.7060   0.0058  -0.1374
    2.00     0.7680   0.0059  -0.1385
    2.50     0.8280   0.0061  -0.1395
    3.00     0.8880   0.0063  -0.1403
    3.50     0.9480   0.0066  -0.1406
    4.00     0.9960   0.0071  -0.1398
    4.50     1.0460   0.0079  -0.1390
    5.00     1.0950   0.0090  -0.1378
    5.50     1.1450   0.0103  -0.1369
    6.00     1.1920   0.0113  -0.1353
    6.50     1.2390   0.0122  -0.1338
    7.00     1.2830   0.0131  -0.1317
    7.50     1.3240   0.0139  -0.1291
    8.00     1.3580   0.0147  -0.1249
    8.50     1.3850   0.0158  -0.1213
    9.00     1.4030   0.0181  -0.1177
    9.50     1.4010   0.0211  -0.1142
   10.00     1.3580   0.0255  -0.1103
   10.50     1.3130   0.0301  -0.1066
   11.00     1.2870   0.0347  -0.1032
   11.50     1.2740   0.0401  -0.1002
   12.00     1.2720   0.0468  -0.0971
   12.50     1.2730   0.0545  -0.0940
   13.00     1.2730   0.0633  -0.0909
   13.50     1.2730   0.0722  -0.0883
   14.00     1.2720   0.0806  -0.0865
   14.50     1.2730   0.0900  -0.0854
   15.00     1.2750   0.0987  -0.0849
   15.50     1.2810   0.1075  -0.0847
   16.00     1.2840   0.1170  -0.0850
   16.50     1.2960   0.1270  -0.0858
   17.00     1.3060   0.1368  -0.0869
   17.50     1.3080   0.1464  -0.0883
   18.00     1.3080   0.1562  -0.0901
   18.50     1.3080   0.1664  -0.0922
   19.00     1.3080   0.1770  -0.0949
   19.50     1.3070   0.1878  -0.0980
   20.00     1.3110   0.1987  -0.1017
   20.50     1.3250   0.2100  -0.1059
   21.00     1.3240   0.2214  -0.1105
   22.00     1.2770   0.2499  -0.1172
   23.00     1.2290   0.2786  -0.1239
   24.00     1.1820   0.3077  -0.1305
   25.00     1.1360   0.3371  -0.1370
   26.00     1.0930   0.3664  -0.1433
   28.00     1.0170   0.4246  -0.1556
   30.00     0.9620   0.4813  -0.1671
   32.00     0.9370   0.5356  -0.1778
   35.00     0.9470   0.6127  -0.1923
   40.00     0.9500   0.7396  -0.2154
   45.00     0.9280   0.8623  -0.2374
   50.00     0.8840   0.9781  -0.2583
   55.00     0.8210   1.0846  -0.2782
   60.00     0.7400   1.1796  -0.2971
   65.00     0.6460   1.2617  -0.3149
   70.00     0.5400   1.3297  -0.3318
   75.00     0.4250   1.3827  -0.3476
   80.00     0.3040   1.4202  -0.3625
   85.00     0.1790   1.4423  -0.3763
   90.00     0.0530   1.4512  -0.3890
   95.00    -0.0730   1.4480  -0.4004
  100.00    -0.1980   1.4294  -0.4105
  105.00    -0.3190   1.3954  -0.4191
  110.00    -0.4340   1.3464  -0.4260
  115.00    -0.5410   1.2829  -0.4308
  120.00    -0.6370   1.2057  -0.4333
  125.00    -0.7200   1.1157  -0.4330
  130.00    -0.7870   1.0144  -0.4294
  135.00    -0.8360   0.9033  -0.4219
  140.00    -0.8640   0.7845  -0.4098
  145.00    -0.8690   0.6605  -0.3922
  150.00    -0.8470   0.5346  -0.3682
  155.00    -0.7950   0.4103  -0.3364
  160.00    -0.7110   0.2922  -0.2954
  170.00    -0.7880   0.0969  -0.3966
  175.00    -0.3940   0.0334  -0.1978
  180.00     0.0000   0.0185   0.0000
